method,seed,model_family,final_avg_acc,min_task_acc,context_entropy_mean,context_margin_mean,context_top1_acc_mean,latent_frechet_margin_mean,prototype_weight_mean,class2_margin_vs4_mean,class5_margin_vs4_mean,class2_logit_rank_mean,class5_logit_rank_mean,trainable_params,total_params,backbone_params,readout_trainable_params,readout_total_params,model_size_mb_total,probe_row,backbone_source,probe_feature,probe_context_mode,middle_avg_acc,middle_min_acc,avg_forgetting,old_class_acc,recent_class_acc,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,min_class_acc,pred4_bias,method_role
paired_context_temp_blend_selected_head_guard_035,2,mmals_rc2b_candidate,0.9045,0.80375,5.436193532744169e-07,0.9999999403953552,0.8,29.671852111816406,1.0,5.26076877117157,3.646252155303955,1.2262499928474426,1.002500057220459,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.835,0.80375,0.06781250000000005,0.89875,0.9320833333333334,0.9425,0.9125,0.84125,0.8975,0.90125,0.9975,0.84125,0.185625,deployable_mmals_paired
paired_proto_global_head_ce_kl_guard_035,0,mmals_rc2b_candidate,0.8714999999999999,0.75,0.28068701922893524,0.8340613842010498,0.7360000014305115,25.8445255279541,0.9499999284744263,3.002879500389099,3.3673131465911865,1.1850000023841858,1.0125000476837158,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.8162499999999999,0.75,0.08000000000000004,0.915,0.8612500000000001,0.95,0.91125,0.88375,0.92125,0.67,0.9925,0.67,0.13145833333333334,deployable_mmals_paired
paired_proto_global_head_ce_kl_guard_035,1,mmals_rc2b_candidate,0.91275,0.83,0.18508979082107543,0.9197364330291748,0.9679999947547913,31.708906507492067,0.9499999284744263,3.149482488632202,3.6883673667907715,1.1449999809265137,1.002500057220459,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.881875,0.83,0.043125,0.94375,0.91,0.9975,0.95125,0.8825,0.8675,0.865,0.9975,0.865,0.165625,deployable_mmals_paired
paired_proto_global_head_ce_kl_guard_035,2,mmals_rc2b_candidate,0.9027499999999999,0.8375,0.21831555664539337,0.8802461981773376,0.8,29.671852111816406,0.9499999284744263,5.593690872192383,4.004199981689453,1.168749988079071,1.002500057220459,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.86,0.855,0.06375000000000003,0.8975,0.9304166666666666,0.9425,0.8575,0.8925,0.8925,0.90125,0.9975,0.8575,0.17833333333333332,deployable_mmals_paired
paired_proto_global_no_repair,0,mmals_rc2b_candidate,0.8455,0.65,0.28068701922893524,0.8340613842010498,0.7360000014305115,25.8445255279541,0.9499999284744263,3.5017133355140686,2.6849780082702637,1.2162500023841858,1.0075000524520874,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.73125,0.65,0.14,0.8816666666666667,0.8533333333333334,0.9575,0.85125,0.83625,0.88875,0.67375,0.9975,0.67375,0.14479166666666665,deployable_mmals_paired
paired_proto_global_no_repair,1,mmals_rc2b_candidate,0.9047499999999999,0.84375,0.18508979082107543,0.9197364330291748,0.9679999947547913,31.708906507492067,0.9499999284744263,2.581254482269287,2.2293498516082764,1.3387500047683716,1.0099999904632568,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.9025,0.865,0.06031250000000002,0.8966666666666666,0.9416666666666668,0.9925,0.94,0.7575,0.9225,0.9125,0.99,0.7575,0.18583333333333332,deployable_mmals_paired
paired_proto_global_no_repair,2,mmals_rc2b_candidate,0.8625,0.49625,0.21831555664539337,0.8802461981773376,0.8,29.671852111816406,0.9499999284744263,2.090393841266632,2.8378143310546875,1.7599999904632568,1.0075000524520874,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.7075,0.49625,0.13093749999999998,0.8129166666666667,0.9479166666666666,0.9475,0.9775,0.51375,0.85875,0.9925,0.9925,0.51375,0.2627083333333334,deployable_mmals_paired
paired_rc2h_rc1b_anchored_conservative_policy,0,mmals_rc2b_policy,0.8412499999999999,0.75,0.6237693011760712,0.5507783174514771,0.9577499985694885,25.8445255279541,0.6600000262260437,2.4614726901054382,3.650437593460083,1.2549999952316284,1.0125000476837158,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.7537499999999999,0.75,0.13437500000000002,0.8875000000000001,0.8366666666666668,0.94,0.89625,0.82625,0.84125,0.67625,0.9925,0.67625,0.14770833333333333,deployable_mmals_paired
paired_rc2h_rc1b_anchored_conservative_policy,1,mmals_rc2b_policy,0.9115,0.81875,0.016539838910102845,0.9913922786712647,0.9679999947547913,29.511765050888062,1.0,2.959748387336731,3.634728193283081,1.1837499737739563,1.002500057220459,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.878125,0.81875,0.05218749999999997,0.9366666666666666,0.915,0.9975,0.95125,0.86125,0.85625,0.89125,0.9975,0.85625,0.17270833333333332,deployable_mmals_paired
paired_rc2h_rc1b_anchored_conservative_policy,2,mmals_rc2b_policy,0.88375,0.63875,0.5524742305278778,0.6102142378687858,0.8592499971389771,31.368982124328614,0.6600000262260437,1.7538789212703705,2.837782621383667,1.5700000524520874,1.0075000524520874,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.7775000000000001,0.63875,0.10093750000000001,0.8383333333333334,0.9533333333333335,0.92,0.97375,0.62125,0.875,0.9925,0.9925,0.62125,0.2429166666666667,deployable_mmals_paired
